[24, 43, 70, 112]
[9, 43, 70, 112]
[4, 36, 106, 110]
[13, 36, 106, 110]
[36, 70, 102, 106]
[13, 70, 102, 106]
[13, 70, 101, 106]
[29, 70, 101, 106]
[16, 70, 135, 137]
[15, 70, 135, 137]
[31, 70, 135, 137]
[32, 70, 135, 137]
[46, 70, 135, 137]
[66, 70, 135, 137]
[69, 70, 135, 137]
[16, 31, 135, 137]
[15, 31, 135, 137]
[15, 16, 135, 137]
[5, 16, 135, 137]
[16, 130, 135, 137]
[15, 130, 135, 137]
[2, 130, 135, 137]
[31, 130, 135, 137]
[32, 130, 135, 137]
[108, 130, 135, 137]
[0, 130, 135, 137]
[123, 130, 135, 137]
[130, 135, 136, 137]
[61, 130, 135, 137]
[130, 132, 135, 137]
[38, 130, 135, 137]
[69, 130, 135, 137]
[70, 130, 135, 137]
[34, 130, 135, 137]
[33, 130, 135, 137]
[46, 130, 135, 137]
[2, 31, 135, 137]
[5, 31, 135, 137]
[21, 31, 135, 137]
[31, 95, 135, 137]
[5, 21, 135, 137]
[2, 21, 135, 137]
[31, 135, 137, 153]
[32, 33, 135, 137]
[6, 32, 74, 91]
[6, 32, 74, 81]
[9, 110, 151, 157]
[6, 9, 151, 157]
[9, 14, 151, 157]
[9, 58, 151, 157]
[9, 26, 151, 157]
[9, 42, 151, 157]
[5, 9, 151, 157]
[9, 67, 151, 157]
[9, 27, 151, 157]
[9, 100, 151, 157]
[9, 23, 151, 157]
[9, 134, 151, 157]
[9, 121, 151, 157]
[9, 24, 151, 157]
[9, 12, 42, 151]
[5, 9, 12, 151]
[9, 12, 14, 151]
[4, 9, 14, 151]
[77, 104, 135, 151]
[26, 77, 135, 151]
[41, 86, 134, 139]
[41, 67, 101, 125]
[26, 41, 101, 125]
[41, 80, 146, 158]
[41, 86, 134, 151]
[58, 86, 134, 151]
[86, 134, 150, 158]
[41, 134, 150, 158]
[42, 134, 150, 158]
[8, 134, 150, 158]
[4, 10, 58, 158]
[4, 58, 104, 151]
[4, 54, 104, 151]
[4, 26, 104, 151]
[54, 58, 104, 151]
[6, 54, 104, 151]
[6, 10, 54, 104]
[10, 26, 104, 151]
[14, 28, 48, 84]
[14, 48, 84, 91]
[17, 104, 129, 140]
[17, 41, 86, 140]
[41, 80, 138, 145]
[94, 101, 132, 138]
[8, 101, 132, 138]
[34, 101, 132, 138]
[101, 132, 138, 148]
[101, 108, 132, 138]
[40, 101, 132, 138]
[101, 132, 138, 154]
[0, 101, 132, 138]
[33, 101, 132, 138]
[99, 101, 132, 138]
[98, 101, 132, 138]
[101, 132, 138, 152]
[101, 132, 138, 156]
[69, 101, 132, 138]
[101, 107, 132, 138]
[35, 101, 132, 138]
[28, 101, 106, 138]
[46, 101, 106, 138]
[101, 106, 138, 154]
[66, 101, 106, 138]
[34, 101, 106, 138]
[101, 106, 138, 148]
[101, 106, 108, 138]
[101, 106, 127, 138]
[101, 106, 138, 157]
[101, 106, 138, 149]
[29, 101, 106, 138]
[98, 101, 106, 138]
[101, 106, 109, 138]
[101, 106, 138, 156]
[69, 101, 106, 138]
[101, 106, 107, 138]
[28, 66, 101, 138]
[28, 101, 128, 138]
[8, 28, 101, 138]
[18, 52, 59, 86]
[18, 59, 76, 86]
[18, 52, 76, 86]
[18, 48, 76, 86]
[76, 86, 94, 138]
[52, 76, 86, 138]
[7, 76, 86, 138]
[8, 52, 86, 138]
[8, 86, 94, 138]
[7, 86, 94, 138]
[48, 86, 94, 138]
[8, 48, 86, 138]
[28, 101, 138, 148]
[27, 86, 138, 145]
[27, 75, 86, 138]
[75, 86, 138, 145]
[52, 86, 138, 145]
[8, 86, 138, 145]
[66, 86, 138, 145]
[86, 138, 139, 145]
[34, 86, 94, 138]
[34, 94, 101, 138]
[8, 34, 101, 138]
[32, 63, 65, 101]
[28, 63, 65, 101]
[28, 59, 63, 101]
[28, 63, 101, 154]
[28, 63, 101, 149]
