[44, 60, 103, 136, 255]
[2, 44, 56, 103, 136]
[27, 44, 56, 103, 136]
[15, 32, 79, 120, 160]
[15, 29, 79, 120, 160]
[1, 20, 79, 120, 130]
[20, 23, 79, 120, 130]
[26, 74, 79, 130, 183]
[15, 74, 79, 130, 183]
[1, 39, 113, 193, 212]
[35, 39, 113, 193, 212]
[1, 31, 113, 193, 212]
[1, 113, 162, 193, 291]
[1, 76, 113, 193, 207]
[202, 228, 234, 259, 273]
[174, 202, 228, 259, 273]
[20, 202, 228, 259, 273]
[62, 202, 228, 259, 273]
[61, 202, 228, 259, 273]
[25, 202, 228, 259, 273]
[105, 202, 228, 259, 273]
[182, 202, 228, 259, 273]
[62, 91, 202, 259, 273]
[22, 23, 153, 202, 293]
[22, 100, 153, 202, 293]
[9, 13, 111, 123, 188]
[71, 75, 101, 150, 223]
[51, 71, 75, 150, 223]
[53, 71, 75, 150, 223]
[71, 75, 80, 150, 223]
[71, 75, 91, 150, 223]
[23, 71, 75, 150, 223]
[45, 71, 75, 150, 223]
[53, 71, 101, 150, 223]
[53, 66, 71, 150, 223]
[71, 101, 150, 171, 223]
[71, 73, 150, 171, 223]
[3, 71, 150, 171, 223]
[71, 80, 150, 171, 223]
[3, 71, 150, 223, 246]
[71, 73, 150, 223, 246]
[48, 71, 150, 223, 246]
[23, 71, 150, 223, 246]
[51, 71, 150, 223, 246]
[3, 51, 71, 150, 223]
[3, 50, 197, 223, 285]
[37, 50, 197, 223, 285]
[50, 101, 197, 223, 285]
[9, 50, 197, 223, 285]
[37, 101, 197, 223, 285]
[53, 101, 197, 223, 285]
[9, 53, 197, 223, 285]
[9, 73, 197, 223, 285]
[53, 73, 197, 223, 285]
[28, 38, 81, 139, 286]
[80, 81, 139, 256, 286]
[60, 137, 218, 256, 286]
[46, 70, 80, 236, 256]
[70, 80, 182, 215, 256]
[17, 70, 215, 256, 294]
[70, 80, 215, 236, 256]
[48, 70, 80, 236, 256]
[70, 80, 193, 229, 236]
[21, 70, 165, 236, 281]
[11, 13, 185, 188, 236]
[27, 40, 236, 253, 260]
[32, 68, 158, 170, 290]
[7, 134, 187, 263, 278]
[7, 101, 152, 187, 263]
[7, 29, 175, 187, 263]
[7, 26, 152, 210, 226]
[7, 26, 102, 210, 226]
[26, 102, 186, 226, 284]
[14, 26, 186, 226, 284]
[26, 59, 186, 226, 284]
[14, 26, 106, 186, 284]
[26, 55, 106, 186, 284]
[26, 186, 205, 244, 284]
[42, 77, 95, 196, 231]
[15, 25, 87, 110, 231]
[87, 110, 213, 217, 233]
[110, 159, 213, 217, 233]
[37, 110, 213, 217, 233]
[110, 115, 188, 213, 233]
[110, 115, 213, 232, 233]
[115, 116, 232, 233, 278]
[85, 115, 188, 230, 233]
[85, 111, 115, 188, 233]
[111, 115, 188, 232, 233]
[9, 111, 115, 188, 233]
[21, 98, 193, 279, 291]
[32, 79, 89, 168, 193]
[28, 53, 83, 178, 261]
[67, 111, 163, 222, 259]
[4, 111, 116, 177, 211]
[6, 37, 113, 177, 254]
[6, 37, 116, 177, 254]
[37, 54, 116, 177, 254]
[37, 63, 116, 177, 254]
[37, 54, 113, 177, 254]
[37, 113, 116, 177, 254]
[106, 121, 141, 222, 292]
[10, 33, 133, 235, 241]
[10, 133, 235, 241, 258]
[10, 33, 52, 96, 235]
[10, 52, 96, 235, 293]
[33, 34, 74, 229, 235]
[34, 74, 229, 235, 258]
[5, 6, 57, 109, 172]
[5, 6, 57, 82, 109]
[5, 6, 57, 109, 274]
[5, 6, 57, 67, 109]
[5, 6, 57, 109, 199]
[5, 6, 57, 109, 160]
[5, 6, 46, 57, 109]
[5, 6, 57, 109, 270]
[5, 6, 109, 155, 274]
[5, 6, 10, 109, 155]
[26, 32, 35, 42, 144]
[26, 31, 32, 35, 144]
[5, 31, 32, 35, 125]
[31, 34, 75, 150, 212]
[34, 75, 96, 150, 212]
[34, 75, 96, 129, 212]
[34, 75, 129, 212, 214]
[36, 41, 75, 129, 210]
[78, 90, 159, 175, 201]
[4, 175, 197, 198, 201]
[47, 175, 197, 198, 201]
[56, 175, 197, 198, 201]
[2, 175, 197, 198, 201]
[175, 197, 198, 201, 223]
[175, 197, 198, 201, 258]
[66, 175, 197, 198, 201]
[175, 197, 198, 201, 272]
[175, 197, 198, 201, 277]
[91, 175, 197, 198, 201]
[175, 197, 198, 201, 267]
[175, 197, 198, 201, 251]
[175, 198, 201, 216, 251]
[63, 175, 198, 201, 251]
[175, 198, 201, 251, 290]
[138, 175, 198, 201, 251]
[175, 198, 201, 246, 251]
[47, 175, 198, 201, 251]
[56, 175, 198, 201, 251]
[66, 175, 198, 201, 251]
[66, 175, 198, 201, 216]
[66, 175, 198, 201, 286]
[66, 119, 175, 198, 201]
[66, 175, 198, 201, 290]
[66, 175, 198, 201, 204]
[66, 138, 175, 198, 201]
[66, 175, 198, 201, 214]
[31, 66, 175, 198, 201]
[56, 66, 175, 198, 201]
[66, 175, 198, 201, 223]
[66, 175, 198, 201, 258]
[63, 175, 198, 201, 258]
[175, 198, 201, 216, 258]
[175, 198, 201, 258, 286]
[175, 198, 201, 258, 262]
[119, 175, 198, 201, 258]
[92, 175, 198, 201, 258]
[61, 175, 198, 201, 258]
[47, 175, 198, 201, 258]
[4, 175, 198, 201, 258]
[31, 175, 198, 201, 258]
[175, 198, 201, 223, 258]
[63, 175, 198, 201, 223]
[175, 198, 201, 216, 223]
[175, 198, 201, 223, 262]
[119, 175, 198, 201, 223]
[175, 198, 201, 223, 246]
[2, 175, 198, 201, 223]
[175, 198, 201, 214, 223]
[56, 175, 198, 201, 223]
[56, 63, 175, 198, 201]
[56, 175, 198, 201, 290]
[56, 175, 198, 201, 204]
[56, 104, 175, 198, 201]
[22, 56, 175, 198, 201]
[47, 56, 175, 198, 201]
[4, 56, 175, 198, 201]
[56, 138, 175, 198, 201]
[56, 175, 198, 201, 262]
[56, 175, 198, 201, 246]
[2, 56, 175, 198, 201]
[56, 175, 198, 201, 214]
[63, 175, 198, 201, 214]
[175, 198, 201, 214, 216]
[175, 198, 201, 214, 286]
[22, 175, 198, 201, 214]
[47, 175, 198, 201, 214]
[138, 175, 198, 201, 214]
[175, 198, 201, 214, 246]
[63, 175, 198, 201, 246]
[175, 198, 201, 216, 246]
[175, 198, 201, 246, 290]
[92, 175, 198, 201, 246]
[175, 198, 201, 204, 246]
[106, 175, 198, 201, 246]
[61, 175, 198, 201, 246]
[4, 175, 198, 201, 246]
[31, 175, 198, 201, 246]
[175, 198, 201, 246, 262]
[175, 198, 201, 246, 286]
[175, 198, 201, 216, 286]
[175, 198, 201, 286, 290]
[92, 175, 198, 201, 286]
[106, 175, 198, 201, 286]
[104, 175, 198, 201, 286]
[61, 175, 198, 201, 286]
[4, 175, 198, 201, 286]
[31, 175, 198, 201, 286]
[175, 198, 201, 262, 286]
[119, 175, 198, 201, 286]
[119, 175, 198, 201, 290]
[92, 119, 175, 198, 201]
[4, 119, 175, 198, 201]
[31, 119, 175, 198, 201]
[31, 63, 175, 198, 201]
[31, 175, 198, 201, 216]
[31, 175, 198, 201, 204]
[31, 92, 175, 198, 201]
[4, 31, 175, 198, 201]
[4, 63, 175, 198, 201]
[4, 175, 198, 201, 216]
[2, 4, 175, 198, 201]
[4, 92, 175, 198, 201]
[4, 61, 175, 198, 201]
[61, 175, 198, 201, 290]
[61, 106, 175, 198, 201]
[61, 92, 175, 198, 201]
[92, 106, 175, 198, 201]
[63, 106, 175, 198, 201]
[106, 175, 198, 201, 204]
[175, 198, 201, 204, 290]
[104, 175, 198, 201, 204]
[104, 175, 198, 201, 290]
[104, 106, 175, 198, 201]
[2, 104, 175, 198, 201]
[2, 106, 175, 198, 201]
[175, 198, 201, 216, 262]
[175, 198, 201, 204, 262]
[104, 175, 198, 201, 262]
[92, 175, 198, 201, 262]
[61, 175, 198, 201, 262]
[22, 175, 198, 201, 262]
[22, 63, 175, 198, 201]
[22, 119, 175, 198, 201]
[2, 22, 175, 198, 201]
[22, 31, 175, 198, 201]
[22, 61, 175, 198, 201]
[4, 22, 175, 198, 201]
[4, 47, 175, 198, 201]
[47, 175, 198, 201, 216]
[47, 175, 198, 201, 204]
[47, 106, 175, 198, 201]
[31, 47, 175, 198, 201]
[47, 92, 175, 198, 201]
[47, 175, 198, 201, 262]
[138, 175, 198, 201, 262]
[138, 175, 198, 201, 216]
[138, 175, 198, 201, 290]
[138, 175, 198, 201, 204]
[104, 138, 175, 198, 201]
[119, 138, 175, 198, 201]
[138, 175, 198, 201, 286]
[2, 138, 175, 198, 201]
[22, 138, 175, 198, 201]
[138, 175, 198, 201, 272]
[175, 198, 201, 216, 272]
[63, 175, 198, 201, 272]
[175, 198, 201, 204, 272]
[175, 198, 201, 223, 272]
[106, 175, 198, 201, 272]
[104, 175, 198, 201, 272]
[175, 198, 201, 214, 272]
[2, 175, 198, 201, 272]
[92, 175, 198, 201, 272]
[4, 175, 198, 201, 272]
[22, 175, 198, 201, 272]
[47, 175, 198, 201, 272]
[175, 198, 201, 262, 272]
[175, 198, 201, 204, 277]
[175, 198, 201, 258, 277]
[175, 198, 201, 223, 277]
[106, 175, 198, 201, 277]
[104, 175, 198, 201, 277]
[175, 198, 201, 214, 277]
[175, 198, 201, 277, 286]
[2, 175, 198, 201, 277]
[92, 175, 198, 201, 277]
[47, 175, 198, 201, 277]
[138, 175, 198, 201, 277]
[91, 175, 198, 201, 277]
[63, 91, 175, 198, 201]
[91, 175, 198, 201, 290]
[91, 175, 198, 201, 204]
[91, 175, 198, 201, 258]
[91, 175, 198, 201, 223]
[91, 106, 175, 198, 201]
[56, 91, 175, 198, 201]
[91, 119, 175, 198, 201]
[91, 175, 198, 201, 286]
[91, 92, 175, 198, 201]
[61, 91, 175, 198, 201]
[22, 91, 175, 198, 201]
[47, 91, 175, 198, 201]
[91, 175, 198, 201, 272]
[91, 175, 198, 201, 267]
[63, 175, 198, 201, 267]
[175, 198, 201, 216, 267]
[175, 198, 201, 267, 290]
[175, 198, 201, 204, 267]
[66, 175, 198, 201, 267]
[175, 198, 201, 258, 267]
[106, 175, 198, 201, 267]
[175, 198, 201, 246, 267]
[175, 198, 201, 214, 267]
[92, 175, 198, 201, 267]
[61, 175, 198, 201, 267]
[4, 175, 198, 201, 267]
[175, 198, 201, 262, 267]
[138, 175, 198, 201, 267]
[175, 198, 201, 267, 277]
[63, 175, 198, 201, 226]
[175, 198, 201, 216, 226]
[175, 198, 201, 226, 290]
[175, 197, 198, 201, 226]
[175, 198, 201, 226, 251]
