[13, 19, 22, 50, 51, 53]
[2, 13, 15, 27, 44, 50]
[2, 8, 13, 15, 44, 50]
[8, 13, 15, 42, 44, 50]
[2, 8, 13, 15, 42, 44]
[2, 13, 15, 38, 44, 47]
[3, 4, 7, 33, 38, 52]
[12, 23, 36, 39, 42, 46]
[1, 5, 17, 21, 36, 39]
[5, 37, 39, 46, 50, 52]
[5, 37, 38, 46, 50, 52]
[30, 31, 38, 49, 50, 53]
[7, 12, 33, 39, 52, 54]
[1, 12, 17, 22, 36, 39]
[7, 17, 22, 36, 39, 47]
[17, 21, 22, 36, 39, 47]
[12, 23, 36, 37, 39, 46]
[12, 19, 23, 36, 42, 46]
[12, 15, 29, 34, 39, 46]
[7, 12, 17, 22, 36, 39]
[12, 33, 39, 42, 52, 54]
[1, 5, 12, 20, 27, 40]
[0, 12, 14, 19, 22, 42]
[0, 14, 19, 22, 42, 50]
[0, 2, 18, 28, 37, 48]
[0, 12, 14, 33, 37, 52]
[2, 8, 14, 26, 37, 50]
[2, 8, 14, 26, 42, 50]
[12, 14, 33, 42, 52, 54]
[2, 10, 18, 37, 38, 50]
[2, 18, 26, 37, 38, 50]
[4, 12, 14, 33, 52, 54]
[4, 18, 24, 32, 51, 54]
[11, 18, 24, 32, 51, 54]
[2, 4, 8, 17, 48, 51]
[0, 4, 12, 33, 37, 52]
[4, 7, 12, 17, 22, 36]
[4, 7, 12, 33, 52, 54]
[12, 15, 39, 42, 46, 52]
[12, 15, 34, 39, 42, 46]
[12, 15, 23, 29, 39, 46]
[12, 15, 23, 39, 42, 46]
[5, 12, 15, 34, 39, 46]
[5, 15, 39, 46, 47, 52]
[12, 15, 23, 37, 39, 46]
[12, 15, 37, 39, 46, 52]
[15, 37, 39, 46, 50, 52]
[2, 8, 15, 26, 37, 50]
[2, 8, 15, 26, 42, 50]
[15, 39, 42, 46, 50, 52]
[2, 8, 26, 37, 50, 51]
[12, 15, 23, 29, 46, 53]
[2, 8, 15, 28, 42, 48]
[2, 8, 15, 28, 37, 48]
[5, 15, 37, 46, 50, 52]
[5, 15, 26, 37, 50, 52]
[2, 5, 15, 26, 37, 50]
[2, 5, 15, 26, 27, 50]
[5, 15, 39, 46, 50, 52]
[5, 15, 37, 39, 50, 52]
[2, 5, 15, 37, 39, 50]
[5, 15, 37, 39, 46, 50]
[5, 15, 37, 39, 46, 52]
[15, 30, 39, 46, 50, 52]
[2, 4, 8, 15, 37, 48]
[2, 4, 8, 37, 48, 51]
[2, 4, 18, 37, 48, 51]
[2, 18, 26, 37, 50, 51]
[8, 11, 19, 26, 35, 51]
[0, 19, 22, 50, 51, 53]
[2, 8, 13, 37, 50, 51]
[9, 18, 26, 37, 50, 51]
[4, 8, 24, 37, 40, 48]
[0, 2, 15, 28, 37, 48]
[0, 2, 15, 28, 42, 48]
[0, 12, 22, 31, 51, 53]
[0, 22, 31, 50, 51, 53]
[0, 11, 16, 19, 35, 51]
[0, 12, 19, 22, 51, 53]
[2, 8, 15, 42, 44, 50]
[2, 8, 15, 42, 44, 48]
[2, 8, 15, 37, 44, 50]
[2, 8, 15, 37, 44, 48]
[2, 8, 37, 44, 50, 51]
[1, 4, 12, 27, 33, 34]
[1, 4, 12, 15, 27, 34]
[1, 4, 10, 16, 27, 40]
[1, 5, 12, 15, 27, 34]
[1, 5, 12, 15, 34, 39]
[1, 5, 12, 15, 20, 27]
[1, 5, 12, 15, 39, 46]
[1, 5, 12, 36, 39, 46]
[1, 5, 12, 34, 39, 46]
[1, 5, 12, 15, 34, 46]
[1, 5, 15, 34, 39, 46]
[1, 5, 15, 26, 27, 34]
[5, 12, 15, 39, 46, 52]
[5, 12, 15, 37, 46, 52]
[5, 12, 37, 39, 46, 52]
[5, 12, 15, 37, 39, 52]
[5, 12, 15, 37, 39, 46]
[5, 12, 36, 37, 39, 46]
[0, 5, 12, 15, 37, 52]
[0, 5, 15, 37, 50, 52]
[0, 2, 5, 15, 37, 50]
[0, 2, 5, 37, 50, 51]
[0, 2, 5, 15, 27, 50]
[7, 36, 39, 45, 47, 54]
[7, 39, 45, 47, 52, 54]
[21, 36, 39, 45, 47, 54]
[5, 15, 21, 28, 39, 47]
[12, 15, 17, 23, 29, 53]
[0, 2, 5, 27, 33, 43]
[0, 5, 12, 33, 37, 52]
[0, 2, 5, 15, 28, 37]
[1, 5, 12, 15, 17, 39]
[2, 5, 14, 26, 37, 51]
[5, 14, 26, 37, 50, 51]
[5, 15, 26, 37, 38, 52]
[5, 15, 26, 38, 50, 52]
[12, 19, 20, 22, 38, 53]
[12, 15, 17, 23, 29, 39]
[12, 17, 23, 29, 51, 53]
[1, 12, 15, 34, 39, 46]
[1, 11, 15, 26, 34, 35]
[1, 15, 28, 34, 35, 39]
[2, 5, 15, 17, 39, 47]
[9, 11, 16, 19, 35, 51]
[9, 11, 19, 26, 35, 51]
[7, 14, 45, 47, 52, 54]
[4, 12, 15, 37, 38, 52]
[4, 15, 37, 38, 48, 52]
[2, 4, 15, 37, 38, 48]
[4, 7, 12, 38, 52, 54]
[2, 4, 18, 37, 38, 48]
[2, 4, 10, 18, 37, 38]
[15, 30, 38, 46, 50, 52]
[1, 15, 21, 28, 34, 39]
[2, 8, 14, 37, 50, 51]
[7, 12, 14, 33, 52, 54]
[8, 14, 26, 31, 50, 51]
[2, 8, 14, 37, 48, 51]
[2, 8, 14, 26, 37, 51]
[8, 14, 26, 35, 37, 51]
[8, 14, 26, 37, 50, 51]
[2, 5, 26, 37, 50, 51]
[5, 12, 33, 37, 39, 52]
[2, 5, 15, 28, 37, 39]
[2, 5, 15, 28, 37, 44]
[12, 19, 20, 22, 51, 53]
[4, 8, 24, 37, 48, 51]
[4, 18, 24, 37, 48, 51]
[8, 15, 28, 37, 44, 48]
[4, 18, 24, 25, 49, 54]
[8, 11, 13, 15, 17, 44]
[2, 8, 13, 15, 17, 44]
[1, 4, 12, 17, 22, 36]
[1, 13, 20, 22, 32, 33]
[2, 4, 8, 15, 17, 48]
[4, 18, 24, 37, 40, 48]
[2, 4, 17, 18, 48, 51]
[12, 19, 20, 23, 51, 53]
[0, 2, 4, 18, 33, 37]
[0, 2, 4, 18, 37, 48]
[0, 4, 15, 37, 48, 52]
[0, 2, 4, 15, 37, 48]
[0, 4, 12, 15, 37, 52]
[2, 5, 15, 28, 39, 47]
[4, 18, 24, 37, 41, 48]
[23, 36, 37, 39, 41, 46]
[4, 18, 24, 41, 48, 51]
[22, 31, 41, 50, 51, 53]
[12, 34, 39, 41, 42, 46]
[12, 24, 34, 41, 42, 46]
[12, 36, 39, 41, 42, 46]
[12, 36, 37, 39, 41, 46]
[12, 23, 36, 37, 41, 46]
[13, 15, 37, 39, 50, 52]
[18, 24, 28, 37, 41, 48]
