[2, 7, 14, 26, 106]
[13, 39, 53, 54, 106]
[3, 8, 41, 82, 100]
[11, 24, 36, 52, 93]
[11, 36, 38, 52, 93]
[11, 36, 52, 93, 130]
[14, 36, 52, 93, 130]
[23, 120, 140, 183, 213]
[22, 33, 120, 140, 213]
[1, 22, 49, 89, 120]
[22, 42, 49, 60, 120]
[22, 42, 60, 116, 120]
[22, 42, 60, 93, 120]
[22, 42, 93, 120, 212]
[22, 42, 93, 120, 142]
[22, 42, 93, 120, 207]
[22, 42, 83, 93, 120]
[22, 42, 93, 120, 206]
[22, 42, 93, 120, 146]
[22, 42, 93, 120, 227]
[22, 42, 93, 120, 222]
[22, 42, 62, 93, 120]
[22, 93, 120, 207, 225]
[22, 83, 93, 120, 225]
[63, 83, 116, 120, 123]
[33, 63, 116, 120, 123]
[21, 116, 120, 196, 225]
[53, 55, 63, 123, 194]
[27, 53, 55, 63, 194]
[41, 53, 55, 63, 194]
[29, 53, 55, 63, 194]
[43, 53, 55, 63, 194]
[53, 55, 63, 105, 194]
[53, 55, 63, 188, 194]
[31, 38, 53, 55, 63]
[44, 73, 148, 152, 206]
[13, 38, 152, 206, 229]
[91, 98, 162, 171, 203]
[73, 91, 98, 135, 203]
[73, 91, 135, 203, 206]
[19, 91, 135, 203, 206]
[47, 91, 135, 203, 206]
[9, 73, 91, 98, 135]
[9, 90, 91, 98, 208]
[3, 71, 95, 163, 226]
[19, 32, 111, 163, 200]
[32, 71, 111, 163, 200]
[5, 57, 112, 163, 200]
[108, 163, 175, 215, 229]
[51, 77, 197, 218, 229]
[89, 190, 202, 218, 229]
[89, 180, 190, 218, 229]
[89, 100, 180, 190, 229]
[9, 133, 135, 216, 221]
[4, 9, 35, 214, 216]
[4, 7, 9, 214, 216]
[4, 9, 87, 214, 216]
[4, 9, 44, 214, 216]
[4, 9, 34, 214, 216]
[4, 9, 109, 214, 216]
[4, 7, 9, 35, 214]
[4, 9, 35, 87, 214]
[4, 9, 128, 201, 214]
[4, 9, 186, 201, 214]
[4, 9, 159, 201, 214]
[4, 9, 44, 201, 214]
[4, 9, 182, 201, 214]
[4, 9, 83, 201, 214]
[4, 9, 158, 201, 214]
[4, 9, 201, 214, 225]
[4, 9, 201, 208, 214]
[4, 9, 201, 206, 214]
[4, 9, 180, 201, 214]
[4, 9, 44, 158, 214]
[4, 28, 106, 135, 199]
[4, 24, 37, 44, 135]
[4, 24, 44, 48, 135]
[4, 24, 44, 84, 135]
[4, 24, 28, 44, 135]
[4, 24, 44, 135, 212]
[4, 24, 44, 135, 204]
[4, 24, 40, 48, 135]
[4, 24, 40, 84, 135]
[22, 67, 84, 135, 204]
[20, 35, 66, 84, 204]
[0, 35, 63, 77, 204]
[11, 32, 160, 164, 178]
[11, 32, 97, 107, 160]
[11, 32, 38, 97, 107]
[14, 25, 99, 132, 182]
[18, 33, 77, 209, 229]
[33, 99, 117, 161, 211]
[18, 33, 117, 161, 211]
[48, 56, 99, 161, 211]
[28, 40, 56, 161, 211]
[40, 161, 208, 211, 213]
[40, 161, 202, 211, 213]
[54, 114, 204, 223, 228]
[54, 56, 114, 223, 228]
[50, 71, 156, 209, 214]
[3, 50, 71, 156, 209]
[3, 50, 71, 117, 156]
[114, 124, 137, 199, 223]
[114, 137, 199, 204, 223]
[12, 50, 61, 204, 227]
[117, 137, 225, 226, 227]
[137, 146, 225, 226, 227]
[3, 109, 166, 192, 227]
[3, 109, 117, 192, 227]
[3, 65, 109, 146, 227]
[3, 65, 109, 146, 175]
[65, 96, 124, 134, 172]
[56, 118, 134, 172, 228]
[18, 56, 118, 223, 228]
[49, 118, 172, 216, 228]
[0, 12, 118, 172, 178]
[0, 12, 118, 178, 223]
[0, 12, 118, 178, 213]
[0, 12, 118, 178, 211]
[0, 12, 46, 118, 178]
[0, 12, 118, 178, 197]
[0, 12, 118, 178, 210]
[0, 12, 111, 118, 178]
[0, 12, 71, 118, 178]
[0, 11, 12, 118, 178]
[0, 12, 89, 118, 178]
[12, 89, 118, 178, 223]
[12, 89, 118, 149, 178]
[12, 89, 118, 178, 213]
[12, 89, 90, 118, 178]
[12, 61, 89, 118, 178]
[12, 89, 118, 178, 197]
[12, 76, 89, 118, 178]
[12, 89, 111, 118, 178]
[12, 111, 118, 149, 178]
[12, 111, 118, 178, 211]
[12, 90, 111, 118, 178]
[12, 46, 111, 118, 178]
[12, 59, 111, 118, 178]
[12, 61, 111, 118, 178]
[12, 111, 118, 178, 197]
[12, 118, 178, 197, 223]
[12, 118, 178, 197, 211]
[12, 118, 141, 178, 197]
[12, 46, 118, 178, 197]
[12, 59, 118, 178, 197]
[12, 118, 178, 197, 210]
[12, 76, 118, 178, 197]
[12, 61, 118, 178, 197]
[12, 59, 61, 118, 178]
[12, 61, 118, 178, 210]
[12, 61, 76, 118, 178]
[12, 76, 118, 149, 178]
[12, 76, 118, 141, 178]
[12, 76, 90, 118, 178]
[12, 46, 76, 118, 178]
[12, 59, 76, 118, 178]
[12, 59, 118, 149, 178]
[12, 59, 118, 178, 213]
[12, 59, 118, 141, 178]
[12, 59, 90, 118, 178]
[12, 90, 118, 149, 178]
[12, 90, 118, 178, 213]
[12, 90, 118, 178, 211]
[12, 46, 90, 118, 178]
[12, 46, 118, 149, 178]
[12, 46, 118, 178, 213]
[12, 118, 178, 213, 223]
[12, 118, 178, 211, 213]
[12, 118, 149, 178, 211]
[12, 118, 141, 178, 213]
[12, 46, 118, 141, 178]
[12, 118, 141, 178, 210]
[12, 118, 178, 210, 223]
[12, 118, 149, 178, 210]
[12, 118, 178, 210, 213]
[12, 118, 178, 210, 211]
[12, 46, 118, 178, 210]
[12, 90, 118, 178, 210]
[12, 59, 118, 178, 210]
[12, 118, 172, 178, 210]
[12, 118, 149, 172, 178]
[12, 89, 118, 172, 178]
[12, 76, 118, 172, 178]
[12, 118, 172, 178, 197]
[12, 111, 118, 172, 178]
[12, 118, 141, 172, 178]
[12, 59, 118, 172, 178]
[12, 71, 118, 172, 178]
[12, 71, 118, 178, 223]
[12, 71, 118, 149, 178]
[12, 71, 118, 178, 197]
[12, 71, 111, 118, 178]
[12, 71, 118, 178, 211]
[12, 46, 71, 118, 178]
[12, 71, 118, 141, 178]
[12, 71, 118, 178, 213]
[11, 12, 118, 149, 178]
[11, 12, 76, 118, 178]
[11, 12, 61, 118, 178]
[11, 12, 59, 118, 178]
[11, 12, 46, 118, 178]
[11, 12, 118, 141, 178]
[11, 12, 118, 172, 178]
[11, 118, 149, 172, 178]
[11, 118, 172, 176, 178]
[11, 118, 162, 172, 178]
[11, 118, 155, 172, 178]
[11, 118, 134, 172, 178]
[11, 88, 118, 172, 178]
[11, 118, 129, 172, 178]
[11, 21, 118, 172, 178]
[11, 118, 135, 172, 178]
[11, 75, 118, 172, 178]
[11, 76, 118, 172, 178]
[0, 11, 118, 172, 178]
[11, 59, 118, 172, 178]
[11, 118, 141, 172, 178]
[11, 84, 118, 141, 178]
[11, 118, 141, 162, 178]
[11, 118, 134, 141, 178]
[11, 88, 118, 141, 178]
[11, 118, 138, 141, 178]
[11, 19, 118, 141, 178]
[11, 118, 141, 178, 181]
[11, 21, 118, 141, 178]
[11, 118, 141, 178, 222]
[11, 118, 141, 177, 178]
[11, 118, 135, 141, 178]
[11, 75, 118, 141, 178]
[11, 76, 118, 141, 178]
[11, 59, 118, 141, 178]
[11, 46, 118, 141, 178]
[11, 46, 118, 149, 178]
[11, 46, 118, 134, 178]
[11, 46, 118, 129, 178]
[11, 21, 46, 118, 178]
[11, 46, 118, 178, 222]
[11, 46, 118, 177, 178]
[11, 46, 76, 118, 178]
[0, 11, 46, 118, 178]
[0, 11, 118, 178, 214]
[0, 11, 118, 176, 178]
[0, 11, 118, 155, 178]
[0, 11, 118, 138, 178]
[0, 11, 118, 178, 181]
[0, 11, 21, 118, 178]
[0, 11, 118, 178, 222]
[0, 11, 75, 118, 178]
[11, 75, 84, 118, 178]
[11, 75, 118, 164, 178]
[11, 75, 118, 162, 178]
[11, 75, 88, 118, 178]
[11, 19, 75, 118, 178]
[11, 75, 76, 118, 178]
[11, 76, 118, 149, 178]
[11, 76, 118, 176, 178]
[11, 76, 118, 155, 178]
[11, 76, 118, 134, 178]
[11, 76, 118, 129, 178]
[11, 76, 118, 138, 178]
[11, 76, 118, 135, 178]
[11, 84, 118, 135, 178]
[11, 118, 135, 149, 178]
[11, 19, 118, 135, 178]
[11, 118, 135, 177, 178]
[11, 118, 129, 135, 178]
[11, 118, 129, 164, 178]
[11, 118, 129, 178, 214]
[11, 118, 129, 162, 178]
[11, 118, 129, 176, 178]
[11, 118, 129, 134, 178]
[11, 118, 134, 149, 178]
[11, 118, 134, 178, 214]
[11, 118, 134, 155, 178]
[11, 118, 134, 176, 178]
[11, 118, 164, 176, 178]
[11, 118, 176, 178, 214]
[11, 88, 118, 176, 178]
[11, 118, 176, 177, 178]
[11, 118, 155, 176, 178]
[11, 118, 162, 176, 178]
[11, 118, 149, 162, 178]
[11, 118, 162, 178, 214]
[11, 19, 118, 162, 178]
[11, 19, 84, 118, 178]
[11, 19, 118, 164, 178]
[11, 84, 118, 164, 178]
[11, 118, 149, 164, 178]
[11, 84, 118, 178, 214]
[11, 88, 118, 178, 214]
[11, 88, 118, 149, 178]
[11, 88, 118, 164, 178]
[11, 88, 118, 177, 178]
[11, 84, 118, 177, 178]
[11, 118, 177, 178, 214]
[11, 84, 118, 155, 178]
[84, 118, 155, 173, 178]
[84, 118, 155, 158, 178]
[98, 118, 155, 178, 209]
[98, 118, 155, 173, 178]
[98, 118, 155, 178, 205]
[118, 155, 173, 178, 205]
[118, 155, 158, 178, 205]
[118, 155, 178, 205, 210]
[118, 146, 155, 178, 210]
[118, 140, 146, 155, 178]
[118, 140, 155, 178, 209]
